company_name,high,low,last_price,prev_close,change,percent_gain
Eicher Motors,"5,464.00","5,399.00","5,452.00","5,350.90",101.10,1.89
Indiamart Inter,"2,147.80","2,104.10","2,133.40","2,093.90",39.50,1.89
Finolex Cables,899.45,885.85,892.00,875.60,16.40,1.87
IDFC First Bank,61.24,60.00,61.04,59.92,1.12,1.87
KPR Mill,993.95,976.55,992.95,974.85,18.10,1.86
Ramco Cements,956.00,936.80,954.30,936.85,17.45,1.86
Bosch,"27,090.00","26,580.00","26,850.00","26,359.25",490.75,1.86
MRF,"119,965.00","118,200.00","119,735.00","117,544.40","2,190.60",1.86
Sun Pharma,"1,724.50","1,696.80","1,718.90","1,687.55",31.35,1.86
IEX,182.80,180.26,182.35,179.03,3.32,1.85
Adani Energy,863.10,851.45,860.35,844.80,15.55,1.84
EIH,370.70,362.60,368.00,361.35,6.65,1.84
Maruti Suzuki,"11,862.00","11,680.00","11,811.00","11,599.05",211.95,1.83
Olectra Greente,"1,183.30","1,163.50","1,174.00","1,153.00",21.00,1.82
KSB Pumps,736.10,720.00,731.80,718.75,13.05,1.82
KSB Pumps,736.10,720.00,731.80,718.75,13.05,1.82
Affle India,"1,551.80","1,515.00","1,528.70","1,501.55",27.15,1.81
3M India,"29,665.00","29,185.00","29,530.00","29,006.30",523.70,1.81
JK Bank,93.25,92.00,92.81,91.16,1.65,1.81
Syrma SGS,494.70,485.25,488.40,479.80,8.60,1.79
IOB,35.80,35.12,35.55,34.93,0.62,1.77
Jio Financial,235.94,232.60,234.08,230.02,4.06,1.77
Reliance,"1,251.00","1,240.20","1,240.50","1,218.95",21.55,1.77
KEI Industries,"2,673.20","2,625.10","2,653.30","2,607.35",45.95,1.76
Vardhman Text,469.95,461.50,469.20,461.10,8.10,1.76
NTPC,367.00,362.30,366.35,360.10,6.25,1.74
Kajaria Ceramic,829.55,806.30,815.05,801.20,13.85,1.73
Sun Pharma Adv,148.24,146.13,147.99,145.48,2.51,1.73
